species_code,common_name,scientific_name,prediction_year,region_type,region_code,region_name,continent_code,continent_name,season,start_date,end_date,abundance_mean,total_pop_percent,continent_pop_percent,range_occupied_percent,range_total_percent,range_days_occupation,max_week,max_week_percent_pop
amewoo,American Woodcock,Scolopax minor,2023,state,USA-MO,Missouri,NA,North America,postbreeding_migration,2023-08-02,2023-11-29,0.0035666894521570202,0.02221902260686584,0.02221902260686584,0.4940023510867853,0.03609736714194477,49,2023-11-08,0.12698260284526353
amewoo,American Woodcock,Scolopax minor,2023,state,USA-MO,Missouri,NA,North America,prebreeding_migration,2023-01-18,2023-04-19,0.49203356466000703,0.07760180796847695,0.07760180796847695,0.9679388907896168,0.04394603216911438,91,2023-02-22,0.17299494294930576
amewoo,American Woodcock,Scolopax minor,2023,state,USA-MS,Mississippi,NA,North America,nonbreeding,2023-12-06,2023-01-11,0.02000898338537871,0.02961004362324647,0.02961004362324647,0.6978452134705652,0.08932304996788382,42,2023-12-06,0.06161653827449195
amewoo,American Woodcock,Scolopax minor,2023,state,USA-MS,Mississippi,NA,North America,postbreeding_migration,2023-08-02,2023-11-29,0.00323765685213444,0.0139393517769498,0.0139393517769498,0.80296330497471,0.0405503228925761,42,2023-11-29,0.09401737668910558
amewoo,American Woodcock,Scolopax minor,2023,state,USA-MS,Mississippi,NA,North America,prebreeding_migration,2023-01-18,2023-04-19,0.0749331233731932,0.00816776158768713,0.00816776158768713,0.8657747940750902,0.02716619254986972,63,2023-01-18,0.0813682082431423
amewoo,American Woodcock,Scolopax minor,2023,state,USA-NC,North Carolina,NA,North America,breeding,2023-04-26,2023-07-26,5.174089576669543e-4,1.3150430662387457e-4,1.3150430662387457e-4,0.11708444894689617,0.00683115178135937,49,2023-04-26,2.984662662137336e-4
amewoo,American Woodcock,Scolopax minor,2023,state,USA-NC,North Carolina,NA,North America,nonbreeding,2023-12-06,2023-01-11,0.13185250725784087,0.2100394828352193,0.2100394828352193,0.6584828273659803,0.09072927014783384,42,2023-12-27,0.23998233320243656
amewoo,American Woodcock,Scolopax minor,2023,state,USA-NC,North Carolina,NA,North America,postbreeding_migration,2023-08-02,2023-11-29,0.00234670242609579,0.01087597766594419,0.01087597766594419,0.4472702815383732,0.02431460311254853,56,2023-11-29,0.10539582950337044
amewoo,American Woodcock,Scolopax minor,2023,state,USA-NC,North Carolina,NA,North America,prebreeding_migration,2023-01-18,2023-04-19,0.18396039417247928,0.02158500097959722,0.02158500097959722,0.8762005542709478,0.02959551383075451,98,2023-01-18,0.20141719678840153
amewoo,American Woodcock,Scolopax minor,2023,state,USA-ND,North Dakota,NA,North America,breeding,2023-04-26,2023-07-26,0.00356211607943235,0.00123147107935164,0.00123147107935164,0.11065483010732248,0.0087816315431267,42,2023-04-26,0.00261348104056566
amewoo,American Woodcock,Scolopax minor,2023,state,USA-ND,North Dakota,NA,North America,prebreeding_migration,2023-01-18,2023-04-19,0.00276019870435716,4.405327555090681e-4,4.405327555090681e-4,0.09646243365630902,0.00443190754795538,28,2023-04-19,0.00177532789852077
amewoo,American Woodcock,Scolopax minor,2023,state,USA-NE,Nebraska,NA,North America,breeding,2023-04-26,2023-07-26,1.4025267830191718e-4,5.335514304537226e-5,5.335514304537226e-5,0.03269356636509284,0.00285506571853936,35,2023-05-03,9.451230269947228e-5
